Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Home_team_wins
"Fri, Jan 29, 2021",Denver Nuggets,109,San Antonio Spurs,119,1
"Fri, Jan 29, 2021",Dallas Mavericks,101,Utah Jazz,120,1
"Sat, Jan 30, 2021",Portland Trail Blazers,123,Chicago Bulls,122,0
"Sat, Jan 30, 2021",Milwaukee Bucks,114,Charlotte Hornets,126,1
"Sat, Jan 30, 2021",Sacramento Kings,104,Miami Heat,105,1
"Sat, Jan 30, 2021",Houston Rockets,126,New Orleans Pelicans,112,0
"Sat, Jan 30, 2021",Los Angeles Lakers,96,Boston Celtics,95,0
"Sat, Jan 30, 2021",Memphis Grizzlies,129,San Antonio Spurs,112,0
"Sat, Jan 30, 2021",Phoenix Suns,111,Dallas Mavericks,105,0
"Sat, Jan 30, 2021",Detroit Pistons,91,Golden State Warriors,118,1
"Sun, Jan 31, 2021",Los Angeles Clippers,129,New York Knicks,115,0
"Sun, Jan 31, 2021",Utah Jazz,117,Denver Nuggets,128,1
"Sun, Jan 31, 2021",Philadelphia 76ers,119,Indiana Pacers,110,0
"Sun, Jan 31, 2021",Orlando Magic,102,Toronto Raptors,115,1
"Sun, Jan 31, 2021",Brooklyn Nets,146,Washington Wizards,149,1
"Sun, Jan 31, 2021",Cleveland Cavaliers,104,Minnesota Timberwolves,109,1
